ID_CLIENTE,SAFRA_REF,PROBABILIDADE_INADIMPLENCIA
5058298901476893676,2021-07,0.009972307086313983
274692171162531764,2021-07,0.07893945460448057
274692171162531764,2021-07,0.11768016396721016
274692171162531764,2021-07,0.16093843083591033
465309249432033993,2021-07,0.015476671985999786
465309249432033993,2021-07,0.007229660200188649
465309249432033993,2021-07,0.008661359179353992
465309249432033993,2021-07,0.008331747392666138
5883155883105348987,2021-07,0.023249827830363758
5883155883105348987,2021-07,0.01999895051882437
4489904752023469353,2021-07,0.10278726655914489
3355881107559250653,2021-07,0.006700678689558084
3355881107559250653,2021-07,0.007124302900059612
3355881107559250653,2021-07,0.0073943994243086
3355881107559250653,2021-07,0.008875064845915374
3355881107559250653,2021-07,0.008286534971366463
3355881107559250653,2021-07,0.007113017016325101
3355881107559250653,2021-07,0.007360505714834737
6330043096034525408,2021-07,0.05247630562936593
6330043096034525408,2021-07,0.06755149544338444
6964108750473070287,2021-07,0.008282865393348812
6964108750473070287,2021-07,0.013528896697636301
6964108750473070287,2021-07,0.008365041446616327
6964108750473070287,2021-07,0.007375564211092004
6964108750473070287,2021-07,0.0064191035082605576
6964108750473070287,2021-07,0.007190428276047924
6964108750473070287,2021-07,0.007190428276047924
6964108750473070287,2021-07,0.0064191035082605576
6964108750473070287,2021-07,0.007866302255740587
6964108750473070287,2021-07,0.006503842303563798
6964108750473070287,2021-07,0.007188374825535689
6964108750473070287,2021-07,0.007544172839472731
6964108750473070287,2021-07,0.013762552096040822
6964108750473070287,2021-07,0.008749179751705706
6964108750473070287,2021-07,0.008749179751705706
6964108750473070287,2021-07,0.015116431843138073
4008627434689715639,2021-07,0.4195975162612297
4008627434689715639,2021-07,0.37529139105902865
4008627434689715639,2021-07,0.27967459883553375
5757271354816214865,2021-07,0.9193501287533125
5757271354816214865,2021-07,0.960759249197914
5757271354816214865,2021-07,0.9193501287533125
5757271354816214865,2021-07,0.9193501287533125
5757271354816214865,2021-07,0.9193501287533125
5757271354816214865,2021-07,0.9079467536977971
5757271354816214865,2021-07,0.9059378596534909
5757271354816214865,2021-07,0.9059378596534909
5757271354816214865,2021-07,0.9079467536977971
5757271354816214865,2021-07,0.9033576611716778
5757271354816214865,2021-07,0.9079302649096186
5757271354816214865,2021-07,0.9624775127183395
5757271354816214865,2021-07,0.9079302649096186
5757271354816214865,2021-07,0.9099008389322838
5757271354816214865,2021-07,0.9099008389322838
8909740532547211288,2021-07,0.006404598293359308
8909740532547211288,2021-07,0.004832954382789138
8909740532547211288,2021-07,0.0042711631976088595
4045739494965095560,2021-07,0.009177099976513578
4045739494965095560,2021-07,0.008071875691682575
4045739494965095560,2021-07,0.009346349836611412
6759864637454708017,2021-07,0.08221348382316551
6759864637454708017,2021-07,0.07716184812076962
6759864637454708017,2021-07,0.06004757348869409
6759864637454708017,2021-07,0.14592285977571962
6759864637454708017,2021-07,0.12009285089673069
6759864637454708017,2021-07,0.09358501681311515
6134696632487351445,2021-07,0.0038306927846067803
6134696632487351445,2021-07,0.004110312184546639
6134696632487351445,2021-07,0.0019578721539855242
